2212
0 duplicate normalized root spellings
2212 records written to verbdata_map.txt
WARNING: vals wrong length: ('kuqi!', u'10', u'0068') => [u'kuRq']
WARNING: vals wrong length: ('kuRa!', u'06', u'0061') => [u'kuR']
WARNING: vals wrong length: ('kuRa', u'10', u'0435') => [u'kuRa']
WARNING: vals wrong length: ('kutsa!', u'10', u'0220') => [u'kuts']
WARNING: vals wrong length: ('kuTa!', u'04', u'0012') => [u'kuT']
WARNING: vals wrong length: ('kuTi!', u'01', u'0045') => [u'kunT']
WARNING: vals wrong length: ('kudf!', u'10', u'0008') => [u'kud']
WARNING: vals wrong length: ('kudri!', u'10', u'0007') => [u'kundr']
WARNING: vals wrong length: ('kunTa!', u'09', u'0050') => [u'kunT']
WARNING: vals wrong length: ('kupa!', u'04', u'0146') => [u'kup']
WARNING: vals wrong length: ('kupa!', u'10', u'0310') => [u'kup']
WARNING: vals wrong length: ('kubi!', u'01', u'0492') => [u'kumb']
WARNING: vals wrong length: ('kubi!', u'10', u'0157') => [u'kumb']
WARNING: vals wrong length: ('kuBi!', u'10', u'0158') => [u'kumB']
WARNING: vals wrong length: ('kumAra', u'10', u'0418') => [u'kumAra']
WARNING: vals wrong length: ('kura!', u'06', u'0067') => [u'kur']
WARNING: vals wrong length: ('kurda!', u'01', u'0021') => [u'kurd']
WARNING: vals wrong length: ('kula!', u'01', u'0976') => [u'kul']
WARNING: vals wrong length: ('kuSa!', u'04', u'0126') => [u'kuS']
WARNING: vals wrong length: ('kuSi!', u'10', u'0296') => [u'kuMS']
WARNING: vals wrong length: ('kuza!', u'09', u'0054') => [u'kuz']
WARNING: vals wrong length: ('kusa!', u'04', u'0125') => [u'kus']
WARNING: vals wrong length: ('kusi!', u'10', u'0294') => [u'kuMs']
WARNING: vals wrong length: ('kusma!', u'10', u'0236') => [u'kusm']
WARNING: vals wrong length: ('kuha', u'10', u'0443') => [u'kuha']
WARNING: vals wrong length: ('kUN', u'06', u'0137') => [u'kU']
WARNING: vals wrong length: ('kUja!', u'01', u'0254') => [u'kUj']
WARNING: vals wrong length: ('kUwa!', u'10', u'0225') => [u'kUw']
WARNING: vals wrong length: ('kUwa', u'10', u'0432') => [u'kUwa']
WARNING: vals wrong length: ('kURa!', u'10', u'0211') => [u'kUR']
WARNING: vals wrong length: ('kURa!', u'10', u'0438') => [u'kUR']
WARNING: vals wrong length: ('kUla!', u'01', u'0603') => [u'kUl']
WARNING: vals wrong length: ('kfY', u'01', u'1048') => [u'kf']
WARNING: vals wrong length: ('kfY', u'05', u'0007') => [u'kf']
WARNING: vals wrong length: ('kfqa!', u'06', u'0112') => [u'kfq']
WARNING: vals wrong length: ('kftI!', u'06', u'0171') => [u'kft']
WARNING: vals wrong length: ('kftI!', u'07', u'0010') => [u'kft']
WARNING: vals wrong length: ('kfpa!', u'01', u'0875') => [u'kfp']
WARNING: vals wrong length: ('kfpa!', u'10', u'0278') => [u'kfp']
WARNING: vals wrong length: ('kfpa', u'10', u'0408') => [u'kfpa']
WARNING: vals wrong length: ('kfpU!', u'01', u'0866') => [u'kxp']
WARNING: vals wrong length: ('kfvi!', u'01', u'0682') => [u'kfRv']
WARNING: vals wrong length: ('kfSa!', u'04', u'0140') => [u'kfS']
WARNING: vals wrong length: ('kfza!', u'01', u'1145') => [u'kfz']
WARNING: vals wrong length: ('kfza!', u'06', u'0006') => [u'kfz']
WARNING: vals wrong length: ('kF', u'06', u'0145') => [u'kF']
WARNING: vals wrong length: ('kF', u'09', u'0031') => [u'kF']
WARNING: vals wrong length: ('kFY', u'09', u'0018') => [u'kF']
WARNING: vals wrong length: ('kFta!', u'10', u'0155') => [u'kFt']
WARNING: vals wrong length: ('keta', u'10', u'0437') => [u'keta']
WARNING: vals wrong length: ('kepf!', u'01', u'0426') => [u'kep']
WARNING: vals wrong length: ('kelf!', u'01', u'0616') => [u'kel']
WARNING: vals wrong length: ('kevf!', u'01', u'0583') => [u'kev']
WARNING: vals wrong length: ('kE', u'01', u'1064') => [u'kE']
WARNING: vals wrong length: ('knaTa!', u'01', u'0911') => [u'knaT']
WARNING: vals wrong length: ('knasu!', u'04', u'0007') => [u'knas']
WARNING: vals wrong length: ('knUY', u'09', u'0012') => [u'knU']
WARNING: vals wrong length: ('knUyI!', u'01', u'0558') => [u'knUy']
WARNING: vals wrong length: ('kmara!', u'01', u'0636') => [u'kmar']
WARNING: vals wrong length: ('kraTa!', u'01', u'0912') => [u'kraT']
