--------------------------------------------------
524 cases of STEM in BOTH
Case 74: kuRqitavat: identical in BOTH
Case 75: kutsitavat: identical in BOTH
Case 76: kunTitavat: identical in BOTH
Case 77: kupitavat: identical in BOTH
Case 78: kUjitavat: identical in BOTH
Case 79: kUtavat: identical in BOTH
Case 80: kftavat: identical in BOTH
Case 81: kfttavat: identical in BOTH
Case 82: kfzwavat: identical in BOTH
Case 83: kxptavat: identical in BOTH
Case 84: kelitavat: identical in BOTH
Case 85: kranditavat: identical in BOTH
Case 86: krAntavat: identical in BOTH
Case 87: krIqitavat: identical in BOTH
Case 88: krItavat: identical in BOTH
Case 89: kruYcitavat: identical in BOTH
Case 90: krudDavat: identical in BOTH
Case 91: kruzwavat: identical in BOTH
Case 92: klavitavat: identical in BOTH
Case 93: klinnavat: identical in BOTH
Case 94: kliSitavat: identical in BOTH
Case 95: klizwavat: identical in BOTH
Case 96: klIbitavat: identical in BOTH
Case 97: kvaTitavat: identical in BOTH
Case 98: kzatavat: identical in BOTH
Case 99: kzaritavat: identical in BOTH
Case 100: kziptavat: identical in BOTH
Case 101: kzIRavat: identical in BOTH
Case 102: kzuRRavat: identical in BOTH
Case 103: kzutavat: identical in BOTH
Case 104: kzuDitavat: identical in BOTH
Case 105: kzubDavat: identical in BOTH
Case 106: kzuBitavat: identical in BOTH
Case 107: KaRqitavat: identical in BOTH
Case 108: KAtavat: identical in BOTH
Case 109: KAditavat: identical in BOTH
Case 110: Kinnavat: identical in BOTH
Case 111: Kelitavat: identical in BOTH
Case 112: KyAtavat: identical in BOTH
Case 113: gaRitavat: identical in BOTH
Case 114: gatavat: identical in BOTH
Case 115: gaditavat: identical in BOTH
Case 116: garjitavat: identical in BOTH
Case 117: garditavat: identical in BOTH
Case 118: garvitavat: identical in BOTH
Case 119: garhitavat: identical in BOTH
Case 120: galitavat: identical in BOTH
Case 121: galBitavat: identical in BOTH
Case 122: gAQavat: identical in BOTH
Case 123: gAhitavat: identical in BOTH
Case 124: gItavat: identical in BOTH
Case 125: gIrRavat: identical in BOTH
Case 126: guYjitavat: identical in BOTH
Case 127: guptavat: identical in BOTH
Case 128: gumPitavat: identical in BOTH
Case 129: gUQavat: identical in BOTH
Case 130: gfhItavat: identical in BOTH
Case 131: grastavat: identical in BOTH
Case 132: glAnavat: identical in BOTH
Case 133: Gawitavat: identical in BOTH
Case 134: Gawwitavat: identical in BOTH
Case 135: Guzwavat: identical in BOTH
Case 136: GUrRitavat: identical in BOTH
Case 137: Gftavat: identical in BOTH
Case 138: Gfzwavat: identical in BOTH
Case 139: GrAtavat: identical in BOTH
Case 140: caYcitavat: identical in BOTH
Case 141: cawitavat: identical in BOTH
Case 142: canditavat: identical in BOTH
Case 143: caritavat: identical in BOTH
Case 144: carcitavat: identical in BOTH
Case 145: calitavat: identical in BOTH
Case 146: citavat: identical in BOTH
Case 147: cittavat: identical in BOTH
Case 148: cintitavat: identical in BOTH
Case 149: cuditavat: identical in BOTH
Case 150: cumbitavat: identical in BOTH
Case 151: cUrRitavat: identical in BOTH
Case 152: cezwitavat: identical in BOTH
Case 153: cyutavat: identical in BOTH
Case 154: Cannavat: identical in BOTH
Case 155: Cinnavat: identical in BOTH
Case 156: jagDavat: identical in BOTH
Case 157: japitavat: identical in BOTH
Case 158: jalitavat: identical in BOTH
Case 159: jalpitavat: identical in BOTH
Case 160: jAtavat: identical in BOTH
Case 161: jitavat: identical in BOTH
Case 162: jinvitavat: identical in BOTH
Case 163: jItavat: identical in BOTH
Case 164: jIrRavat: identical in BOTH
Case 165: jIvitavat: identical in BOTH
Case 166: juzwavat: identical in BOTH
Case 167: jfmBitavat: identical in BOTH
Case 168: jYAtavat: identical in BOTH
Case 169: jvalitavat: identical in BOTH
Case 170: qambitavat: identical in BOTH
Case 171: qInavat: identical in BOTH
Case 172: tatavat: identical in BOTH
Case 173: tandritavat: identical in BOTH
Case 174: taptavat: identical in BOTH
Case 175: tamitavat: identical in BOTH
Case 176: tarkitavat: identical in BOTH
Case 177: tarjitavat: identical in BOTH
Case 178: tazwavat: identical in BOTH
Case 179: tIrRavat: identical in BOTH
Case 180: tunnavat: identical in BOTH
Case 181: tuzwavat: identical in BOTH
Case 182: tUrRavat: identical in BOTH
Case 183: tfptavat: identical in BOTH
Case 184: tfzitavat: identical in BOTH
Case 185: tyaktavat: identical in BOTH
Case 186: traptavat: identical in BOTH
Case 187: trastavat: identical in BOTH
Case 188: trAtavat: identical in BOTH
Case 189: truwitavat: identical in BOTH
Case 190: tvaritavat: identical in BOTH
Case 191: daMSitavat: identical in BOTH
Case 192: dakzitavat: identical in BOTH
Case 193: dagDavat: identical in BOTH
Case 194: dattavat: identical in BOTH
Case 195: dabDavat: identical in BOTH
Case 196: dayitavat: identical in BOTH
Case 197: dalitavat: identical in BOTH
Case 198: dastavat: identical in BOTH
Case 199: dAntavat: identical in BOTH
Case 200: digDavat: identical in BOTH
Case 201: ditavat: identical in BOTH
Case 202: dizwavat: identical in BOTH
Case 203: dIkzitavat: identical in BOTH
Case 204: dIptavat: identical in BOTH
Case 205: dIrRavat: identical in BOTH
Case 206: dugDavat: identical in BOTH
Case 207: dutavat: identical in BOTH
Case 208: duzwavat: identical in BOTH
Case 209: dfQavat: identical in BOTH
Case 210: dfptavat: identical in BOTH
Case 211: dfzwavat: identical in BOTH
Case 212: devitavat: identical in BOTH
Case 213: dolitavat: identical in BOTH
Case 214: dyutitavat: identical in BOTH
Case 215: dyUtavat: identical in BOTH
Case 216: dyUnavat: identical in BOTH
Case 217: drARavat: identical in BOTH
Case 218: drugDavat: identical in BOTH
Case 219: drutavat: identical in BOTH
Case 220: drUQavat: identical in BOTH
Case 221: dvizwavat: identical in BOTH
Case 222: Danitavat: identical in BOTH
Case 223: Damitavat: identical in BOTH
Case 224: DAvitavat: identical in BOTH
Case 225: DItavat: identical in BOTH
Case 226: Dukzitavat: identical in BOTH
Case 227: Dutavat: identical in BOTH
Case 228: DUtavat: identical in BOTH
Case 229: Dftavat: identical in BOTH
Case 230: Dfzwavat: identical in BOTH
Case 231: DOtavat: identical in BOTH
Case 232: DmAtavat: identical in BOTH
Case 233: DyAtavat: identical in BOTH
Case 234: Drutavat: identical in BOTH
Case 235: Dvanitavat: identical in BOTH
Case 236: Dvastavat: identical in BOTH
Case 237: DvANkzitavat: identical in BOTH
Case 238: nakzitavat: identical in BOTH
Case 239: nawitavat: identical in BOTH
Case 240: natavat: identical in BOTH
Case 241: naditavat: identical in BOTH
Case 242: nadDavat: identical in BOTH
Case 243: nanditavat: identical in BOTH
Case 244: narditavat: identical in BOTH
Case 245: nazwavat: identical in BOTH
Case 246: niktavat: identical in BOTH
Case 247: ninditavat: identical in BOTH
Case 248: nItavat: identical in BOTH
Case 249: nutavat: identical in BOTH
Case 250: nuttavat: identical in BOTH
Case 251: nunnavat: identical in BOTH
Case 252: nfttavat: identical in BOTH
Case 253: pakvavat: identical in BOTH
Case 254: paWitavat: identical in BOTH
Case 255: paRitavat: identical in BOTH
Case 256: patitavat: identical in BOTH
Case 257: pannavat: identical in BOTH
Case 258: palAyitavat: identical in BOTH
Case 259: pASitavat: identical in BOTH
Case 260: piYjitavat: identical in BOTH
Case 261: piRqitavat: identical in BOTH
Case 262: pizwavat: identical in BOTH
Case 263: pIqitavat: identical in BOTH
Case 264: pItavat: identical in BOTH
Case 265: pInavat: identical in BOTH
Case 266: puzwavat: identical in BOTH
Case 267: pUjitavat: identical in BOTH
Case 268: pUtavat: identical in BOTH
Case 269: pUrRavat: identical in BOTH
Case 270: pUlitavat: identical in BOTH
Case 271: pfktavat: identical in BOTH
Case 272: pyAnavat: identical in BOTH
Case 273: praTitavat: identical in BOTH
Case 274: prItavat: identical in BOTH
Case 275: plutavat: identical in BOTH
Case 276: Palitavat: identical in BOTH
Case 277: Pullitavat: identical in BOTH
Case 278: badDavat: identical in BOTH
Case 279: bADitavat: identical in BOTH
Case 280: budDavat: identical in BOTH
Case 281: bfMhitavat: identical in BOTH
Case 282: bfQavat: identical in BOTH
Case 283: Baktavat: identical in BOTH
Case 284: Bakzitavat: identical in BOTH
Case 285: Bagnavat: identical in BOTH
Case 286: BaRitavat: identical in BOTH
Case 287: BaRqitavat: identical in BOTH
Case 288: Banditavat: identical in BOTH
Case 289: Bartsitavat: identical in BOTH
Case 290: Basitavat: identical in BOTH
Case 291: BAtavat: identical in BOTH
Case 292: BAzitavat: identical in BOTH
Case 293: BAsitavat: identical in BOTH
Case 294: Binnavat: identical in BOTH
Case 295: BItavat: identical in BOTH
Case 296: Buktavat: identical in BOTH
Case 297: Bugnavat: identical in BOTH
Case 298: BUtavat: identical in BOTH
Case 299: BUzitavat: identical in BOTH
Case 300: Bftavat: identical in BOTH
Case 301: BfSitavat: identical in BOTH
Case 302: Brazwavat: identical in BOTH
Case 303: BrAjitavat: identical in BOTH
Case 304: BrAntavat: identical in BOTH
Case 305: maRqitavat: identical in BOTH
Case 306: matavat: identical in BOTH
Case 307: mattavat: identical in BOTH
Case 308: maTitavat: identical in BOTH
Case 309: mantritavat: identical in BOTH
Case 310: manditavat: identical in BOTH
Case 311: mahitavat: identical in BOTH
Case 312: mArgitavat: identical in BOTH
Case 313: mAlitavat: identical in BOTH
Case 314: mitavat: identical in BOTH
Case 315: miditavat: identical in BOTH
Case 316: militavat: identical in BOTH
Case 317: miSritavat: identical in BOTH
Case 318: mizitavat: identical in BOTH
Case 319: mIlitavat: identical in BOTH
Case 320: muktavat: identical in BOTH
Case 321: mugDavat: identical in BOTH
Case 322: muRqitavat: identical in BOTH
Case 323: muditavat: identical in BOTH
Case 324: muzitavat: identical in BOTH
Case 325: mUQavat: identical in BOTH
Case 326: mUrCitavat: identical in BOTH
Case 327: mUrtavat: identical in BOTH
Case 328: mfgitavat: identical in BOTH
Case 329: mfqitavat: identical in BOTH
Case 330: mftavat: identical in BOTH
Case 331: mfzwavat: identical in BOTH
Case 332: mokzitavat: identical in BOTH
Case 333: moditavat: identical in BOTH
Case 334: mnAtavat: identical in BOTH
Case 335: mlAnavat: identical in BOTH
Case 336: yatavat: identical in BOTH
Case 337: yatitavat: identical in BOTH
Case 338: yattavat: identical in BOTH
Case 339: yantritavat: identical in BOTH
Case 340: yabDavat: identical in BOTH
Case 341: yasitavat: identical in BOTH
Case 342: yAcitavat: identical in BOTH
Case 343: yAtavat: identical in BOTH
Case 344: yuktavat: identical in BOTH
Case 345: yutavat: identical in BOTH
Case 346: yudDavat: identical in BOTH
Case 347: raMhitavat: identical in BOTH
Case 348: raktavat: identical in BOTH
Case 349: rakzitavat: identical in BOTH
Case 350: racitavat: identical in BOTH
Case 351: raRitavat: identical in BOTH
Case 352: ratavat: identical in BOTH
Case 353: radDavat: identical in BOTH
Case 354: rabDavat: identical in BOTH
Case 355: rasitavat: identical in BOTH
Case 356: rahitavat: identical in BOTH
Case 357: rAjitavat: identical in BOTH
Case 358: rAtavat: identical in BOTH
Case 359: rAdDavat: identical in BOTH
Case 360: riktavat: identical in BOTH
Case 361: rizwavat: identical in BOTH
Case 362: rIRavat: identical in BOTH
Case 363: rucitavat: identical in BOTH
Case 364: rutavat: identical in BOTH
Case 365: ruditavat: identical in BOTH
Case 366: rudDavat: identical in BOTH
Case 367: ruzwavat: identical in BOTH
Case 368: rUkzitavat: identical in BOTH
Case 369: rUQavat: identical in BOTH
Case 370: rUpitavat: identical in BOTH
Case 371: lakzitavat: identical in BOTH
Case 372: lagitavat: identical in BOTH
Case 373: laNgitavat: identical in BOTH
Case 374: laNGitavat: identical in BOTH
Case 375: lajjitavat: identical in BOTH
Case 376: lapitavat: identical in BOTH
Case 377: labDavat: identical in BOTH
Case 378: lambitavat: identical in BOTH
Case 379: lalitavat: identical in BOTH
Case 380: lazitavat: identical in BOTH
Case 381: lasitavat: identical in BOTH
Case 382: lAYCitavat: identical in BOTH
Case 383: liKitavat: identical in BOTH
Case 384: liptavat: identical in BOTH
Case 385: lizwavat: identical in BOTH
Case 386: lIQavat: identical in BOTH
Case 387: lInavat: identical in BOTH
Case 388: luYcitavat: identical in BOTH
Case 389: luWitavat: identical in BOTH
Case 390: luptavat: identical in BOTH
Case 391: lubDavat: identical in BOTH
Case 392: luBitavat: identical in BOTH
Case 393: lUnavat: identical in BOTH
Case 394: lokitavat: identical in BOTH
Case 395: locitavat: identical in BOTH
Case 396: vatavat: identical in BOTH
Case 397: vanditavat: identical in BOTH
Case 398: varRitavat: identical in BOTH
Case 399: valitavat: identical in BOTH
Case 400: valgitavat: identical in BOTH
Case 401: vasitavat: identical in BOTH
Case 402: vAYCitavat: identical in BOTH
Case 403: vAtavat: identical in BOTH
Case 404: vAntavat: identical in BOTH
Case 405: vASitavat: identical in BOTH
Case 406: vAsitavat: identical in BOTH
Case 407: viktavat: identical in BOTH
Case 408: vignavat: identical in BOTH
Case 409: vittavat: identical in BOTH
Case 410: viditavat: identical in BOTH
Case 411: vidDavat: identical in BOTH
Case 412: vinnavat: identical in BOTH
Case 413: vipitavat: identical in BOTH
Case 414: vizwavat: identical in BOTH
Case 415: vItavat: identical in BOTH
Case 416: vfkRavat: identical in BOTH
Case 417: vfktavat: identical in BOTH
Case 418: vfQavat: identical in BOTH
Case 419: vftavat: identical in BOTH
Case 420: vfttavat: identical in BOTH
Case 421: vfdDavat: identical in BOTH
Case 422: vfzwavat: identical in BOTH
Case 423: venitavat: identical in BOTH
Case 424: vezwitavat: identical in BOTH
Case 425: vyaTitavat: identical in BOTH
Case 426: vraRitavat: identical in BOTH
Case 427: vrIqitavat: identical in BOTH
Case 428: Saktavat: identical in BOTH
Case 429: SaNkitavat: identical in BOTH
Case 430: Sannavat: identical in BOTH
Case 431: Sapitavat: identical in BOTH
Case 432: Saptavat: identical in BOTH
Case 433: Sabditavat: identical in BOTH
Case 434: Sayitavat: identical in BOTH
Case 435: Sasitavat: identical in BOTH
Case 436: Sastavat: identical in BOTH
Case 437: SAtavat: identical in BOTH
Case 438: SAntavat: identical in BOTH
Case 439: Sikzitavat: identical in BOTH
Case 440: Sitavat: identical in BOTH
Case 441: Sizwavat: identical in BOTH
Case 442: SIrRavat: identical in BOTH
Case 443: SudDavat: identical in BOTH
Case 444: SumBitavat: identical in BOTH
Case 445: Suzkavat: identical in BOTH
Case 446: SUnavat: identical in BOTH
Case 447: SoBitavat: identical in BOTH
Case 448: Scutitavat: identical in BOTH
Case 449: SramBitavat: identical in BOTH
Case 450: SrAntavat: identical in BOTH
Case 451: Sritavat: identical in BOTH
Case 452: Srutavat: identical in BOTH
Case 453: SlAGitavat: identical in BOTH
Case 454: Slizwavat: identical in BOTH
Case 455: Svasitavat: identical in BOTH
Case 456: saktavat: identical in BOTH
Case 457: sajjitavat: identical in BOTH
Case 458: sannavat: identical in BOTH
Case 459: sAtavat: identical in BOTH
Case 460: sAntvitavat: identical in BOTH
Case 461: siktavat: identical in BOTH
Case 462: sitavat: identical in BOTH
Case 463: sidDavat: identical in BOTH
Case 464: suKitavat: identical in BOTH
Case 465: sutavat: identical in BOTH
Case 466: suptavat: identical in BOTH
Case 467: sUcitavat: identical in BOTH
Case 468: sUtavat: identical in BOTH
Case 469: sUtritavat: identical in BOTH
Case 470: sUditavat: identical in BOTH
Case 471: sftavat: identical in BOTH
Case 472: sfptavat: identical in BOTH
Case 473: sfzwavat: identical in BOTH
Case 474: sevitavat: identical in BOTH
Case 475: soQavat: identical in BOTH
Case 476: skamBitavat: identical in BOTH
Case 477: sKalitavat: identical in BOTH
Case 478: stanitavat: identical in BOTH
Case 479: stutavat: identical in BOTH
Case 480: stftavat: identical in BOTH
Case 481: stenitavat: identical in BOTH
Case 482: styAnavat: identical in BOTH
Case 483: sTagitavat: identical in BOTH
Case 484: sTitavat: identical in BOTH
Case 485: snAtavat: identical in BOTH
Case 486: snigDavat: identical in BOTH
Case 487: snutavat: identical in BOTH
Case 488: snuhitavat: identical in BOTH
Case 489: spanditavat: identical in BOTH
Case 490: sparDitavat: identical in BOTH
Case 491: spazwavat: identical in BOTH
Case 492: spfzwavat: identical in BOTH
Case 493: spfhitavat: identical in BOTH
Case 494: sPItavat: identical in BOTH
Case 495: sPuwitavat: identical in BOTH
Case 496: sPuritavat: identical in BOTH
Case 497: smitavat: identical in BOTH
Case 498: smftavat: identical in BOTH
Case 499: syannavat: identical in BOTH
Case 500: syUtavat: identical in BOTH
Case 501: srutavat: identical in BOTH
Case 502: svaditavat: identical in BOTH
Case 503: svanitavat: identical in BOTH
Case 504: svaritavat: identical in BOTH
Case 505: svinnavat: identical in BOTH
Case 506: hatavat: identical in BOTH
Case 507: hasitavat: identical in BOTH
Case 508: hAnavat: identical in BOTH
Case 509: hiMsitavat: identical in BOTH
Case 510: hikkitavat: identical in BOTH
Case 511: hitavat: identical in BOTH
Case 512: hInavat: identical in BOTH
Case 513: huRqitavat: identical in BOTH
Case 514: hutavat: identical in BOTH
Case 515: hUtavat: identical in BOTH
Case 516: hftavat: identical in BOTH
Case 517: hfzitavat: identical in BOTH
Case 518: hfzwavat: identical in BOTH
Case 519: hrasitavat: identical in BOTH
Case 520: hrAditavat: identical in BOTH
Case 521: hrIRavat: identical in BOTH
Case 522: hrItavat: identical in BOTH
Case 523: hlAditavat: identical in BOTH
Case 524: hvalitavat: identical in BOTH
--------------------------------------------------
1190 cases of STEM IN PYSAN ONLY
--------------------------------------------------
Case 01: aMSApitavat: in pysan
Case 02: aMsApitavat: in pysan
Case 03: aMsitavat: in pysan
Case 04: aMhitavat: in pysan
Case 05: akitavat: in pysan
Case 06: agitavat: in pysan
Case 07: aNGitavat: in pysan
Case 08: acitavat: in pysan
Case 09: aYktavat: in pysan
Case 10: awwitavat: in pysan
Case 11: aWitavat: in pysan
Case 12: aqitavat: in pysan
Case 13: aqqitavat: in pysan
Case 14: aRitavat: in pysan
Case 15: aRWitavat: in pysan
Case 16: antavat: in pysan
Case 17: antitavat: in pysan
Case 18: anditavat: in pysan
Case 19: annavat: in pysan
Case 20: ambitavat: in pysan
Case 21: ayitavat: in pysan
Case 22: arRavat: in pysan
Case 23: arRRavat: in pysan
Case 24: arbitavat: in pysan
Case 25: arvitavat: in pysan
Case 26: alitavat: in pysan
Case 27: avalokitavat: in pysan
Case 28: azitavat: in pysan
Case 29: ahitavat: in pysan
Case 30: iKitavat: in pysan
Case 31: iNKitavat: in pysan
Case 32: iwitavat: in pysan
Case 33: iritavat: in pysan
Case 34: ilitavat: in pysan
Case 35: IKitavat: in pysan
Case 36: Ijitavat: in pysan
Case 37: Itavat: in pysan
Case 38: Intitavat: in pysan
Case 39: Irzyitavat: in pysan
Case 40: uKitavat: in pysan
Case 41: uNKitavat: in pysan
Case 42: uCitavat: in pysan
Case 43: uWitavat: in pysan
Case 44: uDrasitavat: in pysan
Case 45: uDrAsitavat: in pysan
Case 46: upAritavat: in pysan
Case 47: ubjitavat: in pysan
Case 48: uBitavat: in pysan
Case 49: ulAqitavat: in pysan
Case 50: uSitavat: in pysan
Case 51: uhitavat: in pysan
Case 52: Uyitavat: in pysan
Case 53: UrRutavat: in pysan
Case 54: Urditavat: in pysan
Case 55: Urvitavat: in pysan
Case 56: Uzitavat: in pysan
Case 57: fcitavat: in pysan
Case 58: fCitavat: in pysan
Case 59: fjitavat: in pysan
Case 60: fYjitavat: in pysan
Case 61: fRavat: in pysan
Case 62: ftitavat: in pysan
Case 63: fPitavat: in pysan
Case 64: eWitavat: in pysan
Case 65: elitavat: in pysan
Case 66: ezitavat: in pysan
Case 67: oKitavat: in pysan
Case 68: ojitavat: in pysan
Case 69: oRitavat: in pysan
Case 70: olaRqitavat: in pysan
Case 71: kaMsitavat: in pysan
Case 72: kakitavat: in pysan
Case 73: kaKitavat: in pysan
Case 74: kagitavat: in pysan
Case 75: kaNkitavat: in pysan
Case 76: kacitavat: in pysan
Case 77: kajitavat: in pysan
Case 78: kaYcitavat: in pysan
Case 79: kawitavat: in pysan
Case 80: kawwitavat: in pysan
Case 81: kaWitavat: in pysan
Case 82: kaqitavat: in pysan
Case 83: kaqqitavat: in pysan
Case 84: kaRitavat: in pysan
Case 85: kaRwitavat: in pysan
Case 86: kaRWitavat: in pysan
Case 87: katritavat: in pysan
Case 88: kaditavat: in pysan
Case 89: kanitavat: in pysan
Case 90: kanditavat: in pysan
Case 91: kabitavat: in pysan
Case 92: kambitavat: in pysan
Case 93: karjitavat: in pysan
Case 94: kartritavat: in pysan
Case 95: karditavat: in pysan
Case 96: karbitavat: in pysan
Case 97: karvitavat: in pysan
Case 98: karSitavat: in pysan
Case 99: kallitavat: in pysan
Case 100: kaSitavat: in pysan
Case 101: kAMsitavat: in pysan
Case 102: kAYcitavat: in pysan
Case 103: kARitavat: in pysan
Case 104: kAtavat: in pysan
Case 105: kAntavat: in pysan
Case 106: kArRavat: in pysan
Case 107: kAlitavat: in pysan
Case 108: kAvitavat: in pysan
Case 109: kAsitavat: in pysan
Case 110: kiwitavat: in pysan
Case 111: kitavat: in pysan
Case 112: kititavat: in pysan
Case 113: kilitavat: in pysan
Case 114: kizkitavat: in pysan
Case 115: kIwitavat: in pysan
Case 116: kuMSitavat: in pysan
Case 117: kukitavat: in pysan
Case 118: kujitavat: in pysan
Case 119: kuYjitavat: in pysan
Case 120: kuwitavat: in pysan
Case 121: kuqitavat: in pysan
Case 122: kuRitavat: in pysan
Case 123: kutavat: in pysan
Case 124: kuTitavat: in pysan
Case 125: kundritavat: in pysan
Case 126: kumbitavat: in pysan
Case 127: kuritavat: in pysan
Case 128: kulitavat: in pysan
Case 129: kuSitavat: in pysan
Case 130: kuzitavat: in pysan
Case 131: kuhitavat: in pysan
Case 132: kUwitavat: in pysan
Case 133: kUqitavat: in pysan
Case 134: kURitavat: in pysan
Case 135: kUpitavat: in pysan
Case 136: kUrditavat: in pysan
Case 137: kUlitavat: in pysan
Case 138: kfpitavat: in pysan
Case 139: kepitavat: in pysan
Case 140: kevitavat: in pysan
Case 141: kowitavat: in pysan
Case 142: koRitavat: in pysan
Case 143: koditavat: in pysan
Case 144: kopitavat: in pysan
Case 145: knaMsitavat: in pysan
Case 146: knaTitavat: in pysan
Case 147: knasitavat: in pysan
Case 148: knutavat: in pysan
Case 149: knUyitavat: in pysan
Case 150: kmaritavat: in pysan
Case 151: kraMSitavat: in pysan
Case 152: kraTitavat: in pysan
Case 153: krapitavat: in pysan
Case 154: kruqitavat: in pysan
Case 155: kroqitavat: in pysan
Case 156: klaTitavat: in pysan
Case 157: klanditavat: in pysan
Case 158: klAntavat: in pysan
Case 159: klinditavat: in pysan
Case 160: kleSitavat: in pysan
Case 161: kvaRitavat: in pysan
Case 162: kzajitavat: in pysan
Case 163: kzaditavat: in pysan
Case 164: kzapitavat: in pysan
Case 165: kzampitavat: in pysan
Case 166: kzAjitavat: in pysan
Case 167: kzAntavat: in pysan
Case 168: kzAmavat: in pysan
Case 169: kzAlitavat: in pysan
Case 170: kzitavat: in pysan
Case 171: kzivitavat: in pysan
Case 172: kzIjitavat: in pysan
Case 173: kzIbitavat: in pysan
Case 174: kzIvavat: in pysan
Case 175: kzupitavat: in pysan
Case 176: kzumpitavat: in pysan
Case 177: kzuritavat: in pysan
Case 178: kzowitavat: in pysan
Case 179: kzRutavat: in pysan
Case 180: kzmAtavat: in pysan
Case 181: kzmAyitavat: in pysan
Case 182: kzmIlitavat: in pysan
Case 183: kzviqitavat: in pysan
Case 184: kzviRRavat: in pysan
Case 185: kzviditavat: in pysan
Case 186: kzvelitavat: in pysan
Case 187: Kacitavat: in pysan
Case 188: Kajitavat: in pysan
Case 189: KaYjitavat: in pysan
Case 190: Kawitavat: in pysan
Case 191: Kawwitavat: in pysan
Case 192: Kaditavat: in pysan
Case 193: Kambitavat: in pysan
Case 194: Karjitavat: in pysan
Case 195: Karditavat: in pysan
Case 196: Karbitavat: in pysan
Case 197: Karvitavat: in pysan
Case 198: Kalitavat: in pysan
Case 199: Kallitavat: in pysan
Case 200: Kazitavat: in pysan
Case 201: KAcitavat: in pysan
Case 202: KAqitavat: in pysan
Case 203: Kiwitavat: in pysan
Case 204: Kujitavat: in pysan
Case 205: KuRqitavat: in pysan
Case 206: Kutavat: in pysan
Case 207: Kuditavat: in pysan
Case 208: Kuritavat: in pysan
Case 209: Kurditavat: in pysan
Case 210: Kewitavat: in pysan
Case 211: Kowitavat: in pysan
Case 212: Koqitavat: in pysan
Case 213: Koritavat: in pysan
Case 214: gajitavat: in pysan
Case 215: gaYjitavat: in pysan
Case 216: gaqitavat: in pysan
Case 217: gaRqitavat: in pysan
Case 218: gaDitavat: in pysan
Case 219: ganDitavat: in pysan
Case 220: gambitavat: in pysan
Case 221: garbitavat: in pysan
Case 222: gAjitavat: in pysan
Case 223: gAqitavat: in pysan
Case 224: gAtavat: in pysan
Case 225: gAditavat: in pysan
Case 226: gADitavat: in pysan
Case 227: gArRavat: in pysan
Case 228: gujitavat: in pysan
Case 229: guqitavat: in pysan
Case 230: guRWitavat: in pysan
